min_val_loss,at_epoch_val,min_train_loss,at_epoch_train,num_model_params,num_mult_adds,rp_emb_dim,cond_emb_dim,hidden_dim1,hidden_dim2,hidden_dim3,hidden_dim4,latent_dim,dc_enc_dim,activation,sparsity,sparsity_scheduler,train_time_in_min,batch_size,epochs,lr,beta1,beta2,kld_weight,weight_decay
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.17,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.18,64,1687,0.001,0.5,0.8,0.7,0.1
8.5447,204,4.9078,989,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,3.51,64,1687,0.001,0.5,0.8,0.7,0.1
8.5447,204,4.9078,989,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,3.49,64,1687,0.001,0.5,0.8,0.7,0.1
4.8526,1647,4.3275,1507,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ConstantSpars'>,0.18,64,1687,0.001,0.5,0.8,0.7,0.1
8.4967,212,3.6989,1914,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,4.28,64,5000,0.001,0.5,0.8,0.7,0.1
8.5447,204,4.9078,989,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,3.42,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1442,1262,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.StepSpars'>,2.85,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1409,1346,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ExponentialSpars'>,2.91,64,1687,0.001,0.5,0.8,0.7,0.1
7.9418,103,4.9702,700,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,1.51,64,1687,0.001,0.5,0.8,0.7,0.1
8.9702,154,3.5091,1656,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.5,<class 'modules.sparsity_scheduler.ConstantSpars'>,3.71,64,1687,0.001,0.5,0.8,0.7,0.1
8.6234,150,4.041,1276,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,4.0,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1231,1364,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.StepSpars'>,3.0,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1231,1364,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ExponentialSpars'>,2.99,64,1687,0.001,0.5,0.8,0.7,0.1
7.7361,151,4.1334,1686,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,2.47,64,1687,0.001,0.5,0.8,0.7,0.1
8.652,158,3.3201,1683,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.1,<class 'modules.sparsity_scheduler.ConstantSpars'>,3.63,64,1687,0.001,0.5,0.8,0.7,0.1
8.652,158,3.3201,1683,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.1,<class 'modules.sparsity_scheduler.LinearSpars'>,3.59,64,1687,0.001,0.5,0.8,0.7,0.1
8.652,158,3.3201,1683,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.1,<class 'modules.sparsity_scheduler.StepSpars'>,3.56,64,1687,0.001,0.5,0.8,0.7,0.1
9.9083,230,3.6858,1685,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.3,<class 'modules.sparsity_scheduler.ConstantSpars'>,3.64,64,1687,0.001,0.5,0.8,0.7,0.1
8.4941,201,3.832,1685,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,3.62,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1231,1364,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.StepSpars'>,3.72,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.0989,1424,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ExponentialSpars'>,3.1,64,1687,0.001,0.5,0.8,0.7,0.1
7.39,163,3.7541,1633,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,3.64,64,1687,0.001,0.5,0.8,0.7,0.1
8.9702,154,3.5091,1656,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.4,<class 'modules.sparsity_scheduler.ConstantSpars'>,3.81,64,1687,0.001,0.5,0.8,0.7,0.1
8.591,129,3.8217,1599,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.LinearSpars'>,3.57,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1231,1364,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.StepSpars'>,3.02,64,1687,0.001,0.5,0.8,0.7,0.1
7.3296,198,3.1052,1402,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.ExponentialSpars'>,3.07,64,1687,0.001,0.5,0.8,0.7,0.1
7.39,163,3.8908,1448,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.0,<class 'modules.sparsity_scheduler.CosineAnnealingSpars'>,3.52,64,1687,0.001,0.5,0.8,0.7,0.1
9.9808,301,3.5994,1664,112689,5272896,74,11,100,100,100,100,11,6,SELU(),0.2,<class 'modules.sparsity_scheduler.ConstantSpars'>,4.4,64,1687,0.001,0.5,0.8,0.7,0.1
